10000 40000
0 1549 0
0 1702 1
0 2516 2
0 3745 3
0 3907 4
0 9124 5
1549 2798 6142
1702 1402 6738
1702 3886 6739
1702 4876 6740
1702 7504 6741
1702 9456 6742
1702 9878 6743
2516 2663 10063
2516 5054 10064
2516 7424 10065
2516 9980 10066
3745 451 15075
3745 1357 15076
3745 4272 15077
3745 7861 15078
3745 8194 15079
3907 8466 15708
9124 1394 36469
9124 4791 36470
9124 4865 36471
9124 6203 36472
9124 7116 36473
9124 7685 36474
9124 8730 36475
9124 8978 36476
9124 9006 36477
9124 9214 36478
1 524 6
1 3300 7
1 7317 8
524 9318 2042
3300 2607 13290
3300 6995 13291
7317 460 29277
7317 4118 29278
7317 5374 29279
2 1395 9
2 1653 10
2 3068 11
2 3523 12
1395 2409 5525
1395 3065 5526
1395 4331 5527
1395 5096 5528
1395 5604 5529
1395 8180 5530
1653 1358 6539
1653 2667 6540
1653 4289 6541
1653 9253 6542
3068 517 12385
3068 602 12386
3068 8433 12387
3523 1722 14202
3523 2681 14203
3523 8434 14204
3 6157 13
3 8811 14
3 9023 15
3 9368 16
6157 987 24675
6157 4208 24676
6157 5215 24677
6157 6475 24678
6157 6716 24679
6157 9559 24680
8811 3152 35239
8811 3700 35240
9023 515 36081
9023 5728 36082
9023 7268 36083
9368 859 37451
9368 6572 37452
9368 6664 37453
9368 9460 37454
4 2952 17
4 4376 18
4 4951 19
4 9088 20
4 9114 21
4 9711 22
2952 761 11933
2952 2313 11934
2952 5119 11935
2952 7075 11936
2952 7442 11937
4376 3544 17562
4376 5450 17563
4376 6481 17564
4376 9318 17565
4951 2856 19801
4951 3177 19802
4951 4907 19803
4951 8187 19804
9088 3706 36335
9088 4049 36336
9088 6694 36337
9114 144 36434
9114 3980 36435
9114 7352 36436
9711 7602 38795
5 1432 23
5 2150 24
5 2550 25
5 2829 26
1432 1195 5666
1432 1940 5667
1432 2863 5668
1432 6417 5669
1432 8732 5670
1432 9782 5671
1432 9839 5672
2150 9760 8557
2550 4896 10197
2550 6650 10198
2550 7264 10199
2829 3367 11384
2829 3547 11385
2829 6694 11386
2829 7050 11387
2829 8557 11388
6 1028 27
6 2891 28
6 3012 29
6 4057 30
1028 1868 4104
1028 3114 4105
2891 3750 11669
2891 5398 11670
2891 9602 11671
3012 374 12165
3012 3512 12166
3012 5674 12167
3012 6590 12168
4057 814 16316
4057 1154 16317
4057 9095 16318
7 1856 31
7 6500 32
7 7922 33
1856 562 7333
1856 1409 7334
1856 4232 7335
1856 5267 7336
1856 6000 7337
1856 8850 7338
1856 9998 7339
6500 28 26047
6500 1140 26048
6500 1945 26049
6500 5410 26050
6500 6675 26051
7922 402 31705
7922 3491 31706
7922 7146 31707
7922 8273 31708
8 1610 34
8 6707 35
8 7133 36
8 7395 37
1610 6829 6388
6707 868 26838
6707 2152 26839
6707 4939 26840
6707 5011 26841
6707 5226 26842
6707 9430 26843
7133 288 28499
7133 1418 28500
7133 2491 28501
7133 3351 28502
7133 7363 28503
7133 7888 28504
7395 393 29581
7395 2300 29582
7395 5252 29583
7395 8550 29584
7395 9057 29585
9 5594 38
9 8868 39
9 9629 40
5594 3560 22391
5594 5320 22392
5594 6639 22393
5594 9581 22394
8868 2748 35469
8868 4065 35470
8868 4211 35471
8868 6155 35472
8868 9662 35473
9629 1009 38512
9629 3250 38513
10 1513 41
10 4627 42
10 6249 43
10 7656 44
10 8910 45
1513 149 5996
1513 5406 5997
1513 5645 5998
4627 1000 18575
4627 1472 18576
4627 3389 18577
4627 4852 18578
4627 5933 18579
4627 7716 18580
4627 7955 18581
4627 9438 18582
4627 9592 18583
6249 965 25032
6249 4590 25033
7656 1129 30596
7656 1700 30597
7656 5395 30598
7656 6240 30599
7656 6249 30600
8910 5251 35633
8910 7214 35634
8910 7464 35635
11 57 46
11 1008 47
11 4942 48
57 4042 236
57 5703 237
57 7688 238
57 8405 239
1008 629 4020
1008 1588 4021
1008 5614 4022
4942 2286 19770
4942 3344 19771
4942 7353 19772
12 519 49
12 3361 50
519 342 2025
519 1076 2026
519 1578 2027
519 1855 2028
519 5026 2029
519 9953 2030
3361 221 13528
3361 3179 13529
3361 7561 13530
13 2682 51
13 7842 52
2682 186 10735
2682 5703 10736
2682 7343 10737
2682 7685 10738
7842 1099 31346
7842 2320 31347
7842 7001 31348
14 2177 53
14 4507 54
14 5816 55
14 7421 56
14 9269 57
2177 4238 8668
2177 4257 8669
2177 4316 8670
2177 8478 8671
2177 9827 8672
4507 1036 18084
4507 4884 18085
4507 5601 18086
5816 376 23262
5816 1018 23263
5816 2379 23264
5816 2449 23265
5816 5332 23266
5816 7396 23267
5816 7838 23268
5816 8970 23269
7421 7154 29679
9269 136 37045
9269 1053 37046
9269 1632 37047
9269 2721 37048
15 803 58
15 1049 59
15 2546 60
15 3132 61
15 8290 62
15 8544 63
15 9036 64
803 173 3181
803 368 3182
803 400 3183
803 2090 3184
803 4681 3185
803 6769 3186
803 9873 3187
1049 3454 4184
1049 3823 4185
1049 4403 4186
1049 7300 4187
2546 1908 10184
3132 2053 12659
3132 3373 12660
3132 6583 12661
3132 6590 12662
3132 8271 12663
3132 8938 12664
3132 8940 12665
8290 3774 33135
8290 3921 33136
8290 6075 33137
8544 3667 34142
8544 6675 34143
8544 8057 34144
9036 584 36123
9036 2200 36124
9036 3364 36125
9036 9363 36126
16 703 65
16 6238 66
16 6366 67
703 633 2786
703 2531 2787
703 3570 2788
703 7334 2789
6238 3121 24990
6238 6895 24991
6238 7286 24992
6366 888 25512
6366 1027 25513
6366 4894 25514
6366 6971 25515
6366 7401 25516
6366 8771 25517
6366 8799 25518
17 4559 68
17 8541 69
4559 1885 18297
4559 2799 18298
4559 3845 18299
4559 5332 18300
4559 6658 18301
8541 7534 34131
18 1000 70
18 3979 71
18 6114 72
18 9444 73
1000 281 3993
1000 2168 3994
1000 7110 3995
1000 9776 3996
1000 9871 3997
3979 832 15997
3979 2262 15998
3979 3622 15999
3979 6033 16000
3979 6620 16001
3979 9771 16002
3979 9860 16003
6114 2009 24484
6114 5159 24485
6114 9892 24486
9444 706 37757
9444 2345 37758
9444 2793 37759
19 7807 74
19 9827 75
7807 8220 31205
9827 1933 39270
9827 3219 39271
9827 8557 39272
9827 9227 39273
20 2188 76
20 5767 77
20 8362 78
20 8627 79
2188 4095 8717
2188 4559 8718
2188 5760 8719
2188 7736 8720
2188 8482 8721
2188 9462 8722
5767 2161 23053
5767 4379 23054
5767 5321 23055
8362 2537 33424
8362 3454 33425
8362 4514 33426
8627 132 34476
8627 774 34477
8627 3708 34478
8627 4453 34479
21 2955 80
21 5436 81
2955 1152 11949
2955 6702 11950
2955 7465 11951
5436 7182 21730
22 964 82
22 1760 83
22 2365 84
22 2768 85
964 3167 3843
964 4369 3844
964 5767 3845
964 5938 3846
964 7876 3847
1760 769 6956
1760 4842 6957
1760 5348 6958
1760 6968 6959
1760 7528 6960
1760 9639 6961
2365 4903 9467
2365 6209 9468
2365 6658 9469
2365 6727 9470
2365 9168 9471
2768 78 11109
2768 1196 11110
2768 1707 11111
2768 3780 11112
23 1985 86
23 4854 87
23 4875 88
23 5604 89
23 6077 90
23 6155 91
23 6816 92
23 7330 93
23 9019 94
1985 947 7869
1985 1418 7870
1985 3467 7871
4854 2164 19438
4854 2986 19439
4854 3532 19440
4854 6641 19441
4854 7199 19442
4854 7223 19443
4875 825 19514
4875 1503 19515
4875 3344 19516
4875 3936 19517
4875 5716 19518
4875 8517 19519
5604 2914 22429
5604 5330 22430
5604 5915 22431
5604 9009 22432
5604 9097 22433
5604 9109 22434
6077 7222 24350
6077 8126 24351
6155 583 24669
6155 3359 24670
6155 4767 24671
6155 8535 24672
6155 9159 24673
6816 207 27254
6816 954 27255
6816 4531 27256
6816 8095 27257
7330 217 29321
7330 730 29322
7330 2584 29323
7330 2626 29324
7330 4950 29325
7330 7977 29326
9019 471 36075
9019 6477 36076
9019 9208 36077
24 1860 95
24 4438 96
24 5332 97
24 6472 98
1860 1388 7350
1860 1791 7351
1860 1895 7352
1860 6375 7353
1860 7297 7354
1860 9061 7355
4438 1234 17820
4438 7242 17821
5332 2254 21308
5332 6093 21309
6472 3844 25938
6472 5495 25939
6472 5928 25940
6472 6466 25941
25 65 99
25 86 100
25 194 101
25 1222 102
25 8425 103
25 9231 104
65 781 269
65 4923 270
65 5117 271
65 6213 272
65 8610 273
65 8897 274
86 1969 350
86 5170 351
86 6771 352
86 6970 353
194 998 767
194 7200 768
194 7844 769
194 8795 770
1222 499 4852
1222 2346 4853
1222 3177 4854
1222 9273 4855
8425 744 33649
8425 2754 33650
8425 3435 33651
8425 6682 33652
8425 9719 33653
9231 449 36896
9231 5365 36897
9231 6589 36898
26 835 105
26 1695 106
26 2446 107
26 4715 108
26 6714 109
26 6872 110
26 9650 111
26 9965 112
835 309 3319
835 1465 3320
835 1564 3321
835 3113 3322
835 5680 3323
835 6579 3324
835 8183 3325
835 8577 3326
1695 3513 6707
1695 4031 6708
1695 5163 6709
1695 9173 6710
1695 9354 6711
2446 7720 9794
2446 8181 9795
4715 53 18914
4715 77 18915
4715 3914 18916
4715 9196 18917
6714 5282 26866
6714 6244 26867
6714 6870 26868
6872 333 27476
6872 3305 27477
6872 5565 27478
6872 5929 27479
9650 2411 38580
9965 2269 39861
9965 4538 39862
27 608 113
27 684 114
27 1209 115
27 2264 116
27 3628 117
27 6247 118
27 7989 119
27 9793 120
608 1964 2402
608 2083 2403
608 5232 2404
608 5379 2405
608 5612 2406
608 7042 2407
608 8487 2408
608 9901 2409
608 9905 2410
684 3947 2700
684 5429 2701
684 5618 2702
684 5649 2703
684 8037 2704
684 8482 2705
684 9900 2706
1209 4439 4805
1209 7702 4806
2264 2765 9028
2264 2916 9029
2264 4828 9030
2264 5188 9031
3628 1439 14614
3628 7618 14615
3628 7999 14616
6247 647 25025
6247 5796 25026
6247 9469 25027
7989 233 31947
7989 282 31948
7989 716 31949
7989 3483 31950
7989 6601 31951
7989 9593 31952
9793 2744 39126
9793 2938 39127
9793 5568 39128
9793 6228 39129
28 1234 121
28 2018 122
28 3424 123
28 7943 124
28 8309 125
28 9007 126
1234 731 4901
1234 1153 4902
1234 5402 4903
1234 6194 4904
2018 5275 8012
3424 536 13794
3424 838 13795
3424 4118 13796
3424 6086 13797
3424 8953 13798
7943 9967 31776
8309 5757 33215
9007 556 36022
9007 622 36023
9007 1395 36024
9007 5121 36025
9007 5233 36026
9007 6223 36027
9007 9550 36028
29 246 127
29 2065 128
29 5940 129
29 7890 130
246 1150 940
246 1865 941
246 2751 942
246 7378 943
2065 9364 8196
5940 2587 23811
5940 3852 23812
7890 166 31575
7890 617 31576
7890 1718 31577
